Season,Team,G,Date,Home,Opp,W/L,Tm_Pts,Opp_Pts,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
2023,ATL,1,2022-10-19,1,HOU,W,117,107,45,90,.500,7,25,.280,20,24,.833,4,38,30,12,5,9,18,42,98,.429,9,35,.257,14,15,.933,15,54,25,4,3,16,20
2023,ATL,2,2022-10-21,1,ORL,W,108,98,40,89,.449,13,31,.419,15,16,.938,9,46,26,10,2,17,22,33,80,.413,8,34,.235,24,30,.800,10,44,16,9,7,19,19
2023,ATL,3,2022-10-23,1,CHO,L,109,126,39,95,.411,8,35,.229,23,28,.821,16,45,23,8,9,12,21,47,90,.522,11,26,.423,21,30,.700,14,52,28,7,6,14,24
2023,ATL,4,2022-10-26,0,DET,W,118,113,45,91,.495,8,22,.364,20,25,.800,10,46,22,6,12,12,20,42,91,.462,14,32,.438,15,22,.682,10,40,23,4,6,14,25
2023,ATL,5,2022-10-28,0,DET,W,136,112,55,97,.567,12,29,.414,14,18,.778,10,45,31,5,8,7,26,37,86,.430,7,32,.219,31,38,.816,14,42,18,2,4,11,22
2023,ATL,6,2022-10-29,0,MIL,L,115,123,45,94,.479,13,29,.448,12,15,.800,12,42,19,5,2,13,23,45,92,.489,14,36,.389,19,29,.655,14,49,24,8,5,12,18
2023,ATL,7,2022-10-31,0,TOR,L,109,139,39,84,.464,11,29,.379,20,25,.800,7,37,28,1,4,18,27,46,92,.500,14,34,.412,33,40,.825,12,44,25,13,9,7,22
2023,ATL,8,2022-11-02,0,NYK,W,112,99,44,107,.411,12,34,.353,12,16,.750,17,51,28,11,4,9,18,37,90,.411,10,36,.278,15,20,.750,12,52,23,3,9,17,19
2023,ATL,9,2022-11-05,1,NOP,W,124,121,47,103,.456,9,36,.250,21,25,.840,12,50,28,12,8,13,23,47,108,.435,7,23,.304,20,28,.714,19,59,23,8,6,16,24
2023,ATL,10,2022-11-07,1,MIL,W,117,98,46,99,.465,11,29,.379,14,17,.824,12,48,23,11,3,12,18,36,87,.414,13,40,.325,13,16,.813,6,41,21,5,9,19,18
2023,ATL,11,2022-11-09,1,UTA,L,119,125,51,109,.468,8,28,.286,9,11,.818,17,54,24,5,5,11,16,44,94,.468,17,39,.436,20,24,.833,13,47,27,5,6,13,20
2023,ATL,12,2022-11-10,1,PHI,W,104,95,39,88,.443,6,26,.231,20,23,.870,11,54,19,8,2,18,22,32,83,.386,6,30,.200,25,30,.833,9,45,15,10,5,17,22
2023,ATL,13,2022-11-12,0,PHI,L,109,121,40,89,.449,6,24,.250,23,27,.852,12,43,20,4,2,19,19,44,80,.550,8,24,.333,25,31,.806,2,31,24,10,5,12,26
2023,ATL,14,2022-11-14,0,MIL,W,121,106,44,92,.478,7,20,.350,26,30,.867,13,45,23,4,4,9,23,34,82,.415,6,29,.207,32,41,.780,11,46,21,4,3,17,26
2023,ATL,15,2022-11-16,1,BOS,L,101,126,42,101,.416,7,32,.219,10,13,.769,14,45,21,5,5,9,11,48,88,.545,21,46,.457,9,10,.900,6,49,29,4,8,15,20
2023,ATL,16,2022-11-19,1,TOR,W,124,122,46,92,.500,7,25,.280,25,32,.781,11,50,23,5,5,15,20,48,108,.444,8,37,.216,18,22,.818,17,51,27,11,6,14,25
2023,ATL,17,2022-11-21,0,CLE,L,102,114,38,87,.437,11,34,.324,15,17,.882,10,35,24,11,3,17,21,42,70,.600,10,19,.526,20,23,.870,3,37,24,8,3,20,17
2023,ATL,18,2022-11-23,1,SAC,W,115,106,41,92,.446,11,30,.367,22,23,.957,10,47,23,9,6,13,20,41,89,.461,9,31,.290,15,21,.714,10,48,27,6,2,19,23
2023,ATL,19,2022-11-25,0,HOU,L,122,128,39,82,.476,15,39,.385,29,36,.806,6,28,14,9,6,14,26,41,87,.471,12,35,.343,34,41,.829,22,59,25,9,4,22,29
2023,ATL,20,2022-11-27,1,MIA,L,98,106,35,88,.398,10,36,.278,18,19,.947,8,42,24,6,3,12,12,40,82,.488,9,33,.273,17,19,.895,6,46,28,8,5,14,16
